company,contract_value_rm_m,location,client_type,date_announced,note
Sunway Construction,386,Johor,US MNC tech client (undisclosed),2025-12,Core works
Sunway Construction,570,Johor,US tech client (undisclosed),2025-12,Core & shell works
Sunway Construction,865.6,Johor,Undisclosed (two DC projects),2026-04-21,RM201.2m original + RM664.4m variation orders; completion 4Q2027/2Q2028
Sunway Construction,1750,Selangor (Bandar Serendah),International hyperscaler (undisclosed),2026-04-17,Completion 3Q2028
Sunway Construction,1020,Johor,Undisclosed,2026-08,"MEP fit-out, completion 4Q2027"
Gamuda,1720,"Port Dickson, Negeri Sembilan",US MNC (undisclosed),2026-04-17,"Build-only hyperscale DC, completion Q1 2028"
Gamuda,1710,"Port Dickson, Negeri Sembilan",US MNC (undisclosed),2026-08-05,"Second Port Dickson hyperscale DC, completion Q2 2028"
Gamuda,1743,"Elmina, Selangor",Undisclosed,2025,"RM815m core works + RM928.6m MEP; benchmarked at ~RM22m/MW (unverified figure, recheck primary filing)"
IJM Corporation,873.9,"Elmina Business Park, Selangor",Pearl Computing Malaysia (Raiden APAC subsidiary),2024-10-29,Fit-out; one of the only named real clients found
IJM Corporation,1400,Johor Bahru,Undisclosed,2025-08,"Fast-track 6-storey DC + office, LEED Gold/GreenRE Platinum target, 13-month build; IJM's 4th Johor DC project"
IJM Corporation,658.01,"Elmina Business Park, Selangor","Sime Darby Property (EBP Asset II), intermediary developer",2026-04,"Second package; construction Q2 2026, completion Q3 2027"
